Year,Descriptor,Question,Answer,Score,Justification
2022,SAQ3A_A response,Describe one significant cultural or intellectual change during the Renaissance.,"One significant intellectual change during the Renaissance is the shift to the classics of ancient Greece and Rome. The Renaissance changed the intellectual scene away from theology to a study of classical art, as portrayed in Pico Della Mirandela's Platonic Academy. These ideals would create the perfect Tennisance person, through the classics not religon",1,2
2022,SAQ3A_B response,Describe one significant cultural or intellectual change during the Renaissance.,"The Renaissance was a period of significant cultural & intellectual change. Many people began to shift their focus & ideologies towards more classic Greek & Roman literature & politics, & it began shift to secularism. Rather than view the world with regards to religion & God in every second of the day, people began to think in a more secular, rational, way.",1,1
2022,SAQ3A_Creponse,Describe one significant cultural or intellectual change during the Renaissance.,During the Renaissance a significant cultural change was the expansion of humanism. Society adapted the idea's of humanism and the culture of soceity changed.,0,-1
2022,SAQ3B_A response,Explain one cause of cultural or intellectual change during the Renaissance.,"One cause of the intellectual change to the classics is Petrarch. Petrarch was the first to start the study of the classics, as humanism. These changes are shown by his title the Father of Humanism. Petrarch began the path for the Renaissance study of the classics by shifting away from religion.",1,1
2022,SAQ3B_B response,Explain one cause of cultural or intellectual change during the Renaissance.,"Many of the cultural & intellectual changes during the Renaissance were caused, largely in part by the printing press. Before, literary works had to be written & copied by hand, but with the introduction of the printing press, these works could now be mass produced & spread much faster, & in vernacular languages too.",1,2
2022,SAQ3B_C response,Explain one cause of cultural or intellectual change during the Renaissance.,One cause of intellectual change during the renaissance was the Gutenberg press. This usas the first advanced piece of technology that affected all of society because it allowed people's ideas to spread through publication.,1,2
2022,SAQ3C_A response,Describe a significant difference between the art of the Italian Renaissance and the art of the Protestant Reformation,"A significant difference in art of the Renaissance and the Protestant Reformation is the focus. In renaissance art, the focus is on classical ideas, like the gods and godesses, while the Protestant Reformation focused on the glorification of God and biblical stories. An example of this is the sthead of Athens, which has a focus on Plato and Aristotle, showing the Renaissance focus on the classics.",1,1
2022,SAQ3C_B response,Describe a significant difference between the art of the Italian Renaissance and the art of the Protestant Reformation,"The art of the Italian Renaissance & of the Protestant reformation differed in that Italian Renaissance art was more focused on the details of the natural world, wheras art of the Protestant reformation focused more on humanism, & human beings.",0,-1
2022,SAQ3C_C response,Describe a significant difference between the art of the Italian Renaissance and the art of the Protestant Reformation,"The key difference of art during the Italian Renaissance and the protestant Reformation, was the Art during the protestant reformation was more romantisized where as the art from the renaissance depicted more naturalist ideas and qualities, because the artwork was meant to capture reality and what is actually being shown where art from the protestant reformation was more symbolic and meant to be interpreted based on the symbols in the artwork.",0,-1
2022,SAQ4A_A response,Describe one significant change in the relationship between Western Europe and other parts of the world after 1945.,"Prior to 1945, western Europe singled handedly dominated the rest of the world through vast colony empires. After 1945 however, the west for the most part lost control of these empires and the process of decolobization post WWII preripltated that.",1,3
2022,SAQ4B_A response,Explain one cause for change in the relationship between Western Europe and other parts of the world after 1945.,The main clause of this change was the rise of seperatist and nationalist movements in the former colonies. For example in french indoseina where Ho Chi Minh's Viet Minh removed french influence forcibily or in India where British created independent indian and Pakistani noations as a result of Ghandi's Independence movement.,1,4
2022,SAQ4C_A response,Describe one continuity in the economic relationship between Western Europe and other parts of the world in the period from the late 1800s through the late 1900s.,"One thing that did not change from the previous Century was the economic exploitation of other countries, which continued extensively ints the cold war, in places like Algeria and especially the dutch east indies.",1,1
2022,SAQ4A_B response,Describe one significant change in the relationship between Western Europe and other parts of the world after 1945.,"One significant change Western Europe faced after 1945 was international trade with most countries, but mostly whxing and cooperation with the USA. After WWII wesern countries adopted democratic policies and capatilist form of Government. This would inevatability lead to the Cold War victory for the US. Due to uprisings and revolutions in countries like Czechloslavatrila and Eastern Germany regarding capotalism.",1,2
2022,SAQ4B_B response,Explain one cause for change in the relationship between Western Europe and other parts of the world after 1945.,A big cause of change in relationship with western europe and other parts of the world was the fear and growth of communism. Western countries did not want to be consumed by the Soviet Union so they revolutionized and allied with other countries during the Cold War.,1,1
2022,SAQ4C_B response,Describe one continuity in the economic relationship between Western Europe and other parts of the world in the period from the late 1800s through the late 1900s.,One continuity between Western Europe and other parts of the world in 1800's - 1900's was trade. It was the main reason for western european countries to involve themelves with other countries. Whether they enjoyed the country or not trade was a necessity for VWestern European Countries.,0,-1
2022,SAQ4A_C response,Describe one significant change in the relationship between Western Europe and other parts of the world after 1945.,"One significant change in the relationship between western europe & other parts of the world was the ""iron curtian"". The iron curtain was a symboic division b/t w. Europe & the other parts of the world. It was where you were either democratic or communist, there wasn't an inbetween. This could many divisions w/ in countries. Which lead to U.S. intervention and men the horean & vietman wars.",1,1
2022,SAQ4B_C response,Explain one cause for change in the relationship between Western Europe and other parts of the world after 1945.,"One cuase for the change in relationship b/t w. Europe & other parts of the world was the Cuban Missle Crisis. This was the peak of the cold war. When America was tmeatenry to set of nuclear missles in Eastern Europe and the Soviet Union was threatening the same thing in Cuba. This caused a significant change, b/c it pretty much ended the Cold War.",0,-1
2022,SAQ4C_C response,Describe one continuity in the economic relationship between Western Europe and other parts of the world in the period from the late 1800s through the late 1900s.,"One continuity in the economic relationship b/t w. Europe was the continued trade with overseas colonies, in some cases however (the Cuban Missle Crisis) this lead to greater conflicts.",0,-1
2021,SAQ3A_A response,Describe one specific example of a change in the role of religion in European daily life during the period 1450-1700,"The Renaissance in Europe starting in the 14th and 15th centuries effectively began to limi the role of religion in people's lives until 1700. As ideas of humanism, individualism and especially secularism began to take hold during the Renaissance, the Church began to lose power over people's daily lives. This is evidenced by the shift away from religious images in paintings and literature at the time. This continued to happen during the Protestant Reformation as reformer like Luther increasingly criticized Church abuses.",1,8
2021,SAQ3B_A response,Describe one specific example of a continuity in the role of religion in European daily life during the period 1450-1700,"An example of continutity in the role of religious life from 1450 to 1700 is the participation by those in traditional religious practices. As a result of the criticism from the Protestant Reformation, the Catholic Church held the Council of Trent to reaffirm traditional practices (commonly call the Counter Reformation). There they maintained the sacraments and transubstantiation, as people had been practicing these traditions for hundreds of years.",1,3
2021,SAQ3C_A response,"Using a specific example from the period 1450 to 1700, explain how political authorities in Europe attempted to control religious beliefs or practice.","A specific example of European authorities controlling religious beliefs is with Charles V's peace of Augsbury. Although the Hapsburg ruler was anti-Protestant, he allowed princess in the Holy Roman Empire the change between Lutheranism and Catholicism. However, this treaty was one of the log term causes of the 30 Year's war in 1918, and led to the deaths of approximately 7 million people.",1,2
2021,SAQ3A_B response,Describe one specific example of a change in the role of religion in European daily life during the period 1450-1700,"From 1450 to 1700, religions role in the daily life of Europeans changed quite a bit. The Protestant Reformation created the biggest change. The catholic Church no longer had supreme control of religion in Europe, as Protestants sects like the lutherans, calvinists, anabaptists, and more popped up. The spread of the printing press facilitated this process.",1,6
2021,SAQ3B_B response,Describe one specific example of a continuity in the role of religion in European daily life during the period 1450-1700,"One thing about religion that did not change from 1450 to 1700 was the central role that religion played in Europeans lives. Protestant or catholic, europeans were still extremely devout, and religion still played a huge role in everything they did.",0,-1
2021,SAQ3C_B response,"Using a specific example from the period 1450 to 1700, explain how political authorities in Europe attempted to control religious beliefs or practice.","Some monarchs tried to use religion to their advantage. Henry VIII of Engliand broke from the Catholic church to divorce his wife, Catherine of Aragon. He created his own church, the Anglican Church, and made himself the head of all religious matters in England. He soon realized that controlling religion and being free from the opinions of the pope, would help him strengthen and expand his power. By controlling a vitae part of his subjects' lives, he kept them further under his power.",1,1
2021,SAQ3A_Creponse,Describe one specific example of a change in the role of religion in European daily life during the period 1450-1700,"One way religon changed from 1450 to 1700 is that it went from being a group practice to more of a individual practice. In 1450 most people relied on the church to teach them about God because there weren't translations of the Bible, where as in 1700 there were Bibles in English and more people could read, so they could practice on their own.",1,1
2021,SAQ3B_C response,Describe one specific example of a continuity in the role of religion in European daily life during the period 1450-1700,The importance and significance of religon did not change from 1450 to 1700. Throughout the time period people were still expected to be religous and activly practice religon.,0,-1
2021,SAQ3C_C response,"Using a specific example from the period 1450 to 1700, explain how political authorities in Europe attempted to control religious beliefs or practice.",The Catholic Church tired to control religous beliefs by selling indulgences which essientally said if they gave money to the church they would go to heaven. The catholic church was controlling their believes by telling them they could get to heaven by donating money.,0,-1
2021,SAQ4A_A response,Describe one specific example of a change in the role of the state in European daily life during the period 1900 to 1945.,"One example of a change in the role of the state in European life was the implementation of propoganda on all sides during both World Wars. The need to have the public believe your winning because essential in both wars leading to all sides creating massive propoganda campaigns. In Germany, the public was still being told they were about to win in 1918 when Germany was losing on the Western Front.",1,4
2021,SAQ4B_A response,Describe one specific example of a change in the role of the state in Western Europe during the period 1945 to 2000,"One example of a change in the role of the state in daily life in Western Europe is the creation of welfare programs. These programs gave free healthcare and helped other needs of the public. However, once european economies and infastructure was rebuilt, they started to repeal some of the welfare policies which led to protests.",1,1
2021,SAQ4C_A response,"Describe one specific example from the period 1945 to 2000, explain how Eastern European states attempted to limit individual rights.",Eastern European states attempted to limit individual rights with the urge of the secret police. The secret police would spy on you and watch you and if you were suspected of any actions against the states you would be jailed or killed. These violated basic right of privacy and led to all civilians fearing their government.,1,6
2021,SAQ4A_B response,Describe one specific example of a change in the role of the state in European daily life during the period 1900 to 1945.,"A change in the European daily life during that period would be the government claims and widespread ownership of forms and industrial factories and manufacturing facilities in the Soviety Union during Stalin's rule. Individual familities, as a result, could no longer own or take part in privately owned businesses and were encouraged to direct their efforts away from their self-interest and towards the welfare of the state. Wages also decreased so that one family member could no longer provide for the entire family.",1,1
2021,SAQ4B_B response,Describe one specific example of a change in the role of the state in Western Europe during the period 1945 to 2000,"The creation of the European Union or its origins in the 1990s, led to the establishment of the Euro, which was used by many people in European countries, replacing the national currency in many circumstances (ex. the German mark).",0,-1
2021,SAQ4C_B response,"Describe one specific example from the period 1945 to 2000, explain how Eastern European states attempted to limit individual rights.",The Soviet administration and their control over both territories and satellite states of the Soviet Union led to the develipment of mass and expansive censorship and freedom of speech that limited citizens from publishing and expressing discontent with the Soviet regime. Freedom of the press and media were restricted by the government and those perceived as political dissenters were exiled to gulags and Siberian camps and centeiuments.,1,5
2021,SAQ4A_C response,Describe one specific example of a change in the role of the state in European daily life during the period 1900 to 1945.,"One change in the role of the state in European daily life between 1900-1945 was the reliance on the government. Following world war 1, there was a time of disaray and economic crisis. Naturally, throughout history, when a country is in economic crisis they lean towards wanting to be told what to do by the government, which is a more communist view. However this provides them the stability they crave and provides something to depend on.",0,-1
2021,SAQ4B_C response,Describe one specific example of a change in the role of the state in Western Europe during the period 1945 to 2000,"Between 1945 and 2000, Western Europe has turned much more democratic in the role of the state. This was due to the post WWII mindset that the government does not always know whats best. After the Truman plan was set to help Western Europe, the people developed an Americanized, democratic mindset, as it was what helped them out of crisis.",0,-1
2021,SAQ4C_C response,"Describe one specific example from the period 1945 to 2000, explain how Eastern European states attempted to limit individual rights.","Eastern Europe, still valuing communist ideals between 1945-2000, was very against the new Western rules and ideals. They would not accept the money from the Truman doctrine but rather cracked down on their own ideals. They cut off music, personaly opinionated writing, and anyform of expressing individual emotions or ideals. To implement this they created harsh repercussions for breaking the rules such as jail time or even execution.",1,5
2019,SAQ3A_A response,Describe one cause of the Protestant Reformation in England during the reign of Henry VIII (1509–1547).,"One cause of the Protestant Reformation in England under Henry VIII was his desire to divorce his wife. The Catholic Church would not allow for this divorce for both political and moral reasons, so, despite being a devout Catholic, Henry VIII established his own Church to get a divorce.",1,1
2019,SAQ3B_A response,Describe one political effect of the Protestant Reformation in England in the period 1500–1600.,"One political effect of the Protestant Reformation in England was the increased power of the monarch due to the fact he or she now sontrolled the religion. The Act of Supremacy put the monarch in charge of the Church of England, which spread his or her influence and, therefore, their political power as well.",1,1
2019,SAQ3C_A response,Explain one difference between political effects of the Protestant Reformation in England and political effects of the Protestant Reformation in France in the period 1500–1600.,"The Protestant Reformation in France, unlike that of England, was more tolerant. Henry of Navarre established the Edict of Nantes allowing him to consolidate his power, but it also brough tolerance to France's political realm. In England, however, the monarch, especially Henry VIII, was very oppressive and allowed for no dissenters as displayed in the execution of Thomas More. This was due to the fact that the English monarch was the head of the Church, so because there was no seperation of Church and state, unlike France, dissenters of the Church of England were dissenters of England itself.",1,1
2019,SAQ3A_B response,Describe one cause of the Protestant Reformation in England during the reign of Henry VIII (1509–1547).,One cause of the Protestant Reformation in England during the reign of Henry VIII was his desire to get a divorce from his wife due to her inability to produce a male heir.,1,1
2019,SAQ3B_B response,Describe one political effect of the Protestant Reformation in England in the period 1500–1600.,"One political effect of the Protestant Reformation in England was the creation of the Anglican Church in which the King ruled both the state and religious means, whears prior to the reformation, the Kind had only control of the state and was limited to the church.",1,1
2019,SAQ3C_B response,Explain one difference between political effects of the Protestant Reformation in England and political effects of the Protestant Reformation in France in the period 1500–1600.,"One difference in the political effects of the Protestant Reformation in England than in France is that where the English establed their own church and the king became head of both church and state, the French had a new pope reside in Avingon, causing the Grast Schism. This means that where the English Kind gained ultimate power of church and state, The French gained somewhat more power, not ultimate, as the was easier abu do persuade the pope and what he preached.",0,-1
2019,SAQ3A_C response,Describe one cause of the Protestant Reformation in England during the reign of Henry VIII (1509–1547).,"Henry VIII wanted a son and kept remarrying in order to have a son, but the Catholic Church wouldn't allow it, so he reformed the church. The sale of indulgences was also a cause.",1,1
2019,SAQ3B_C response,Describe one political effect of the Protestant Reformation in England in the period 1500–1600.,"The Council of Trent came about and began educating priest, as well as stopping the sale of indulgences. Simony was also terminated.",0,-1
2019,SAQ3C_C response,Explain one difference between political effects of the Protestant Reformation in England and political effects of the Protestant Reformation in France in the period 1500–1600.,The Protestant Reformation in England entailed less conflicts since the Protestant Reformation entailed the French Wars of Religion.,0,-1
2019,SAQ4A_A response,Describe one cause of Great Britain’s early industrialization in the period 1700–1800.,"One cause is Britain's extensive system of waterways and canals. These networks facilitated the movement of raw goods and manufactured goods throughout the country. In the beginning of the British industrial period, being close to water systems also allowed many factories to have water power as fuel, which was later used in conjuction with coal.",1,9
2019,SAQ4B_A response,"Describe one effect of Great Britain’s industrialization on the European balance of power in the period
1800–1900. ","Great Britain's industialization facilitated its colonial expansion in the period 1800-1900. British weaponary, industrialized navy and rapid food production all contributed to its quick ability to seek its interest in Ghana, India, and China. As Britain's spheres of influence grew, other European powers like Frane sought to limit their power, leading to tense diplocacy between these nations. One example of this is the Berlin Conference (1884-5) in which European countries divided up Africa to prevent one European power from becoming too powerful.",1,6
2019,SAQ4C_A response,Explain one political reaction to industrialization within Great Britain in the period 1800–1900.,"One reaction was the rise of luddites, a group of British warkers who prohibited industrialization by destroying British machinery. The Luddites felt frustrated that their jobs were being replaced by less-skilled workers whose wabor was facilitated by factory industry. The Luddite move is indicative of a growing class consciourness that began to arise in the 19th century between the employer and the employed.",1,4
2019,SAQ4A_B response,Describe one cause of Great Britain’s early industrialization in the period 1700–1800.,"Great Britain was first to industrialize in the period 1700-1800. One reason for this is that Great Britian had a lot of reasources necessary for industrialization such as coal and steel. Using these resources, Great Britian could power transportation and factories.",1,2
2019,SAQ4B_B response,"Describe one effect of Great Britain’s industrialization on the European balance of power in the period
1800–1900. ","Great Britian's industrialization heavily affected the balance of power in the period 1800-1900. Because Great Britian was first to industrialize, it grew to be the most powerful nation. Thus, the power balance shifted and geared more towards Great Britian. Upon seeing its main competitor industrialize and grow to most powerful, America started to industrialize also. After the industrialization of Great Britian and America, other European nations quickly followed after. However, since other nations were much slower to catch on, the balance of power rested heavily on countries like Great Britian and America that industrialized the fastest.",1,"1,2,3,4"
2019,SAQ4C_B response,Explain one political reaction to industrialization within Great Britain in the period 1800–1900.,"One political reaction to industrialization within Great Britian in the period 1800-1900 is the need to colonize other countries and indsutrialize even further. Because industrialization boosted the economy of Great Britian, and made her rich, people in G.B. wanted to industrialize further because money meant power. Thus, Great Britian took possession over various countries, for example, India. From colonizing India, Britian could now exploit the reources to grow even more rich and powerful.",0,-1
2019,SAQ4A_C response,Describe one cause of Great Britain’s early industrialization in the period 1700–1800.,A cuase of Great Britian's early industrialization in 1700 to 1800 was the need for more goods. With industrialization goods could be made faster and easier,0,-1
2019,SAQ4B_C response,"Describe one effect of Great Britain’s industrialization on the European balance of power in the period
1800–1900. ",One effect of Great Britian's industrialization on European balance of power in 1800 to 1900 was that Britian became stronger. Britain's military was improved and they became a stronger nation.,1,"1,3"
2019,SAQ4C_C response,Explain one political reaction to industrialization within Great Britain in the period 1800–1900.,A political reaction to the indsutrialization within Great Britain in the period 1800-1900 was the use its power to intimidate other countries. Britain was strong enough for this to be successful.,0,-1
